t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz,C11,C12,C44,surrogate_method
0.18,1.5714,10.0,5,SC,0.191955,0.343211,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,0.5,13.3333,5,SC,0.505314,0.596895,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,0.5,13.3333,5,SC,0.465878,0.467065,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,0.5,13.3333,5,SC,0.429248,0.412595,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,0.5,13.3333,5,SC,0.397164,0.39868,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,0.5,13.3333,5,SC,0.369829,0.405671,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,0.5,13.3333,5,SC,0.346623,0.41967,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,0.5,13.3333,5,SC,0.326852,0.430606,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,0.5,13.3333,5,SC,0.309925,0.433462,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,0.5,13.3333,5,SC,0.295365,0.428111,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,0.5,13.3333,5,SC,0.282795,0.417096,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,0.5,13.3333,5,SC,0.271917,0.403346,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,0.5,13.3333,5,SC,0.262489,0.389048,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,0.5,13.3333,5,SC,0.254315,0.375495,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,0.5,13.3333,5,SC,0.247236,0.363306,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,0.5,13.3333,5,SC,0.241118,0.35269,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,0.6786,13.3333,5,SC,0.541924,0.678315,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,0.6786,13.3333,5,SC,0.525575,0.88843,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,0.6786,13.3333,5,SC,0.513922,0.949055,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,0.6786,13.3333,5,SC,0.507156,0.871041,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,0.6786,13.3333,5,SC,0.497943,0.752289,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,0.6786,13.3333,5,SC,0.485447,0.646395,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,0.6786,13.3333,5,SC,0.472204,0.564564,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,0.6786,13.3333,5,SC,0.459618,0.503801,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,0.6786,13.3333,5,SC,0.448052,0.458912,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,0.6786,13.3333,5,SC,0.437436,0.425527,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,0.6786,13.3333,5,SC,0.42767,0.400441,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,0.6786,13.3333,5,SC,0.418722,0.381384,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,0.6786,13.3333,5,SC,0.410585,0.366753,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,0.6786,13.3333,5,SC,0.403249,0.35541,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,0.6786,13.3333,5,SC,0.396687,0.346546,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,0.8571,13.3333,5,SC,0.464562,0.260948,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,0.8571,13.3333,5,SC,0.495927,0.309183,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,0.8571,13.3333,5,SC,0.511451,0.37236,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,0.8571,13.3333,5,SC,0.512956,0.449961,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,0.8571,13.3333,5,SC,0.508058,0.538882,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,0.8571,13.3333,5,SC,0.500842,0.63304,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,0.8571,13.3333,5,SC,0.49315,0.724188,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,0.8571,13.3333,5,SC,0.485811,0.804075,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,0.8571,13.3333,5,SC,0.479168,0.866939,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,0.8571,13.3333,5,SC,0.473316,0.910879,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,0.8571,13.3333,5,SC,0.468206,0.937504,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
