t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,C11,C12,C44,surrogate_method,alpha_500hz,alpha_600hz,alpha_700hz,alpha_800hz,alpha_900hz,alpha_1000hz,alpha_1100hz,alpha_1200hz,alpha_1300hz,alpha_1400hz,alpha_1500hz,alpha_1600hz,alpha_1700hz,alpha_1800hz,alpha_1900hz,alpha_2000hz
0.062143,1.2143,10.0,5,SC,0.234526,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR,0.107341036,0.20148824,0.32493943,0.41164875,0.40526202,0.34313947,0.27706313,0.22514497,0.18821193,0.16347015,0.14863417,0.14274482,0.14639477,0.16218032,0.19568455,0.25681016
0.072857,1.2143,10.0,5,SC,0.242225,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR,0.11501654,0.21731307,0.3494473,0.43411863,0.41632932,0.3459434,0.27665645,0.2240209,0.18731749,0.16319956,0.14927341,0.14468946,0.15034422,0.16943955,0.20869252,0.27980977
0.083571,1.2143,10.0,5,SC,0.249089,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR,0.12198831,0.23191991,0.37192017,0.4537469,0.42518145,0.34772888,0.27591884,0.22282235,0.18640557,0.16288492,0.14980075,0.14642364,0.15395258,0.17619245,0.22099692,0.30182716
0.094286,1.2143,10.0,5,SC,0.255185,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR,0.12822023,0.24521291,0.39233097,0.47090507,0.43241182,0.3489249,0.2750891,0.22167875,0.18554963,0.16256823,0.15023443,0.14793818,0.15716654,0.18230295,0.23230107,0.32227293
0.105,1.2143,10.0,5,SC,0.26056,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR,0.13368411,0.25711378,0.41068712,0.4859581,0.43850687,0.34984812,0.2743319,0.22067498,0.18479586,0.16227424,0.15058227,0.1492193,0.15993428,0.1876436,0.24232607,0.34060222
0.115714,1.2143,10.0,5,SC,0.26525,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR,0.13836308,0.26756784,0.42702872,0.4992525,0.44386128,0.35073242,0.2737612,0.2198668,0.18417329,0.16201785,0.15084784,0.15025476,0.16221331,0.19210814,0.25083387,0.35635507
0.126429,1.2143,10.0,5,SC,0.269289,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR,0.14224921,0.27653787,0.4414101,0.51109785,0.44879,0.35175115,0.2734572,0.21929179,0.18370105,0.16180906,0.1510339,0.15103656,0.16397324,0.19561593,0.2576362,0.3691679
0.137143,1.2143,10.0,5,SC,0.272707,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR,0.1453424,0.28400058,0.45388702,0.5217575,0.45354122,0.35303396,0.2734775,0.21897636,0.18339282,0.16165589,0.15114461,0.15156275,0.16519782,0.19811559,0.2626016,0.3787794
0.147857,1.2143,10.0,5,SC,0.275538,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR,0.147652,0.28994995,0.464517,0.5314527,0.4583118,0.3546798,0.27386504,0.21894011,0.18325943,0.1615662,0.15118685,0.15183875,0.1658868,0.19958873,0.26566383,0.38503948
0.158571,1.2143,10.0,5,SC,0.27782,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR,0.14919475,0.29439244,0.4733483,0.54035836,0.46325594,0.356766,0.27465373,0.21919917,0.18331082,0.16154882,0.15117075,0.15187715,0.16605511,0.20004842,0.26681918,0.38790095
0.169286,1.2143,10.0,5,SC,0.279596,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR,0.1499945,0.29734704,0.48041856,0.5486057,0.46849447,0.3593551,0.2758723,0.21976824,0.18355724,0.16161413,0.15110976,0.15169744,0.16573182,0.19953741,0.26612434,0.38741562
0.18,1.2143,10.0,5,SC,0.280912,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR,0.15008135,0.29884338,0.4857508,0.556281,0.47411948,0.362499,0.27754644,0.22066188,0.18400988,0.16177435,0.15102062,0.1513253,0.1649586,0.19812495,0.26369083,0.38372833
0.03,1.3929,10.0,5,SC,0.167893,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR,0.05307459,0.09555475,0.15620324,0.22353512,0.2691367,0.2738535,0.24856792,0.2139326,0.18189174,0.15617523,0.13700831,0.12374914,0.11588392,0.113374755,0.116856135,0.12788427
0.040714,1.3929,10.0,5,SC,0.176171,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR,0.058049016,0.10522562,0.17265512,0.24566726,0.29050827,0.28877154,0.25703064,0.2184388,0.1844747,0.15799813,0.13870843,0.12573604,0.11852175,0.11711201,0.1223626,0.13624544
0.051429,1.3929,10.0,5,SC,0.183479,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR,0.06264113,0.1143017,0.18822035,0.2663088,0.30958217,0.3012749,0.26365584,0.22173014,0.18625729,0.1592537,0.13996132,0.12732974,0.1207806,0.12046055,0.1274611,0.14419255
0.062143,1.3929,10.0,5,SC,0.189952,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR,0.06683032,0.12272079,0.2027917,0.28540513,0.32655537,0.31181163,0.26891974,0.22418489,0.1875139,0.1601395,0.14091083,0.128634,0.122729264,0.12345106,0.13213126,0.15162647
0.072857,1.3929,10.0,5,SC,0.195701,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR,0.07060175,0.13043255,0.21628627,0.30294913,0.34166062,0.32078934,0.27320597,0.2260873,0.1884425,0.1607944,0.14165622,0.12971862,0.12441076,0.12609534,0.13633943,0.15843868
0.083571,1.3929,10.0,5,SC,0.200812,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR,0.0739446,0.1373951,0.22863777,0.31896257,0.35513723,0.328562,0.27681798,0.22764994,0.18918619,0.16131681,0.14226665,0.13063107,0.12585217,0.12839474,0.14004686,0.1645209
