t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz
0.03,1.75,30.0,20,FCC_face,0.693234,0.75942
0.03,1.75,33.3333,5,FCC_face,0.373686,0.781473
0.03,1.75,33.3333,10,FCC_face,0.563582,0.359515
0.03,1.75,33.3333,15,FCC_face,0.644204,0.554455
0.03,1.75,33.3333,20,FCC_face,0.682501,0.902081
0.03,1.75,36.6667,5,FCC_face,0.425282,0.316585
0.03,1.75,36.6667,10,FCC_face,0.55757,0.833234
0.03,1.75,36.6667,15,FCC_face,0.627236,0.449508
0.03,1.75,36.6667,20,FCC_face,0.658684,0.828703
0.03,1.75,40.0,5,FCC_face,0.405441,0.226473
0.03,1.75,40.0,10,FCC_face,0.495775,0.37053
0.03,1.75,40.0,15,FCC_face,0.533502,0.504142
0.03,1.75,40.0,20,FCC_face,0.551607,0.630146
0.03,1.9286,23.3333,5,FCC_face,0.218669,0.156595
0.03,1.9286,23.3333,10,FCC_face,0.319215,0.528959
0.03,1.9286,23.3333,15,FCC_face,0.442647,0.321052
0.03,1.9286,23.3333,20,FCC_face,0.527895,0.32619
0.03,1.9286,26.6667,5,FCC_face,0.255217,0.121407
0.03,1.9286,26.6667,10,FCC_face,0.412153,0.256776
0.03,1.9286,26.6667,15,FCC_face,0.533155,0.459406
0.03,1.9286,26.6667,20,FCC_face,0.591916,0.745349
0.03,1.9286,30.0,5,FCC_face,0.287683,0.154217
0.03,1.9286,30.0,10,FCC_face,0.488369,0.352425
0.03,1.9286,30.0,15,FCC_face,0.577288,0.598077
0.03,1.9286,30.0,20,FCC_face,0.656742,0.838061
0.03,1.9286,33.3333,5,FCC_face,0.346174,0.499097
0.03,1.9286,33.3333,10,FCC_face,0.544304,0.563033
0.03,1.9286,33.3333,15,FCC_face,0.620843,0.385036
0.03,1.9286,33.3333,20,FCC_face,0.675062,0.602668
0.03,1.9286,36.6667,5,FCC_face,0.406898,0.476464
0.03,1.9286,36.6667,10,FCC_face,0.549253,0.357199
0.03,1.9286,36.6667,15,FCC_face,0.640485,0.741622
0.03,1.9286,36.6667,20,FCC_face,0.675638,0.569414
0.03,1.9286,40.0,5,FCC_face,0.413838,0.211047
0.03,1.9286,40.0,10,FCC_face,0.527908,0.612212
0.03,1.9286,40.0,15,FCC_face,0.583855,0.960367
0.03,1.9286,40.0,20,FCC_face,0.616141,0.637539
0.03,2.1071,26.6667,5,FCC_face,0.229976,0.116184
0.03,2.1071,26.6667,10,FCC_face,0.360884,0.290529
0.03,2.1071,26.6667,15,FCC_face,0.464776,0.620636
0.03,2.1071,26.6667,20,FCC_face,0.544357,0.786797
0.03,2.1071,30.0,5,FCC_face,0.241024,0.122246
0.03,2.1071,30.0,10,FCC_face,0.416382,0.234381
0.03,2.1071,30.0,15,FCC_face,0.533272,0.336487
0.03,2.1071,30.0,20,FCC_face,0.622713,0.428589
0.03,2.1071,33.3333,5,FCC_face,0.321564,0.282523
0.03,2.1071,33.3333,10,FCC_face,0.482868,0.804469
0.03,2.1071,33.3333,15,FCC_face,0.587321,0.540194
0.03,2.1071,33.3333,20,FCC_face,0.661064,0.436175
0.03,2.1071,36.6667,5,FCC_face,0.345808,0.6401
0.03,2.1071,36.6667,10,FCC_face,0.534661,0.284445
0.03,2.1071,36.6667,15,FCC_face,0.627805,0.821477
0.03,2.1071,36.6667,20,FCC_face,0.672677,0.571751
0.03,2.1071,40.0,5,FCC_face,0.392238,0.252931
0.03,2.1071,40.0,10,FCC_face,0.534133,0.941776
0.03,2.1071,40.0,15,FCC_face,0.613414,0.437556
0.03,2.1071,40.0,20,FCC_face,0.65711,0.651247
0.03,2.2857,30.0,5,FCC_face,0.216086,0.105946
0.03,2.2857,30.0,10,FCC_face,0.369135,0.196309
0.03,2.2857,30.0,15,FCC_face,0.484869,0.277116
0.03,2.2857,30.0,20,FCC_face,0.568789,0.35233
0.03,2.2857,33.3333,5,FCC_face,0.287487,0.182892
0.03,2.2857,33.3333,10,FCC_face,0.444869,0.596956
0.03,2.2857,33.3333,15,FCC_face,0.541941,0.837539
0.03,2.2857,33.3333,20,FCC_face,0.637413,0.65439
